ticket_id,customer_id,flight_id,category,ticket_text,sentiment_score,sentiment_label,severity,status,created_at,resolution_days
TKT000001,CUST0233,FLT00315,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,high,resolved,2026-05-24,1
TKT000002,CUST0158,FLT00469,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,high,closed,2026-05-24,1
TKT000003,CUST0136,FLT00241,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,critical,resolved,2026-05-24,14
TKT000004,CUST0164,FLT00213,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,resolved,2026-05-24,1
TKT000005,CUST0249,FLT00133,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,high,resolved,2026-05-24,30
TKT000006,CUST0134,FLT00429,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,high,in_progress,2026-05-24,5
TKT000007,CUST0014,FLT00263,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,medium,resolved,2026-05-24,30
TKT000008,CUST0124,FLT00157,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,resolved,2026-05-24,3
TKT000009,CUST0039,FLT00330,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,low,resolved,2026-05-24,5
TKT000010,CUST0049,FLT00400,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,high,in_progress,2026-05-24,14
TKT000011,CUST0242,FLT00405,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,resolved,2026-05-24,1
TKT000012,CUST0250,FLT00096,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,closed,2026-05-24,7
TKT000013,CUST0212,FLT00134,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,medium,resolved,2026-05-24,1
TKT000014,CUST0074,FLT00055,service,Meal not served in business class on this flight.,0.0,neutral,medium,resolved,2026-05-24,5
TKT000015,CUST0230,FLT00276,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,medium,resolved,2026-05-24,3
