loyalty_id,customer_id,booking_id,transaction_date,miles_earned,miles_redeemed,activity_type
LOY0000001,CUST0001,BKG000133,2024-11-12,1097,0,partner_hotel
LOY0000002,CUST0001,BKG000610,2024-12-15,1175,0,bonus_campaign
LOY0000003,CUST0001,BKG000672,2024-12-20,11936,5968,flight
LOY0000004,CUST0001,BKG000690,2024-12-15,9852,0,bonus_campaign
LOY0000005,CUST0001,BKG000748,2024-11-21,2292,1146,flight
LOY0000006,CUST0001,BKG001010,2024-12-02,545,0,flight
LOY0000007,CUST0001,BKG001393,2024-11-29,4152,2076,partner_hotel
LOY0000008,CUST0001,BKG001419,2024-11-11,399,399,partner_hotel
LOY0000009,CUST0001,BKG001855,2024-11-06,3704,0,flight
LOY0000010,CUST0001,BKG002189,2024-11-19,6379,0,flight
LOY0000011,CUST0001,BKG002499,2024-11-29,1305,1305,flight
LOY0000012,CUST0001,BKG003205,2024-11-15,891,0,flight
LOY0000013,CUST0001,BKG003485,2024-11-27,240,0,flight
LOY0000014,CUST0001,BKG003512,2024-12-22,1507,0,partner_hotel
LOY0000015,CUST0001,BKG004566,2025-01-03,790,0,partner_hotel
LOY0000016,CUST0001,BKG004820,2024-12-13,6480,0,flight
LOY0000017,CUST0001,BKG005043,2024-12-11,2302,0,flight
LOY0000018,CUST0001,BKG005289,2024-12-11,375,187,flight
LOY0000019,CUST0001,BKG005796,2024-11-29,780,390,flight
LOY0000020,CUST0001,BKG005823,2024-12-06,1917,0,flight
LOY0000021,CUST0001,BKG006406,2024-12-22,1350,0,flight
LOY0000022,CUST0001,BKG006496,2024-11-20,1464,732,flight
LOY0000023,CUST0001,BKG006851,2024-12-23,1386,0,flight
LOY0000024,CUST0001,BKG007514,2024-12-01,4973,0,flight
LOY0000025,CUST0001,BKG007621,2024-12-31,2696,0,flight
LOY0000026,CUST0001,BKG007739,2025-01-16,849,0,flight
LOY0000027,CUST0001,BKG008086,2025-01-05,867,433,flight
LOY0000028,CUST0001,BKG008090,2024-11-26,1274,637,flight
LOY0000029,CUST0001,BKG008196,2024-12-05,2395,0,flight
LOY0000030,CUST0001,BKG008244,2024-12-22,1575,0,flight
LOY0000031,CUST0001,BKG008575,2024-12-01,618,309,flight
LOY0000032,CUST0001,BKG009525,2025-01-05,969,0,flight
LOY0000033,CUST0001,BKG009598,2025-01-09,354,0,flight
LOY0000034,CUST0001,BKG009834,2025-01-04,2496,2496,flight
LOY0000035,CUST0001,BKG010144,2025-01-15,756,756,partner_hotel
LOY0000036,CUST0001,BKG010386,2024-12-06,455,0,flight
LOY0000037,CUST0001,BKG010577,2025-01-06,654,654,flight
LOY0000038,CUST0001,BKG010763,2024-12-17,522,0,flight
LOY0000039,CUST0001,BKG010772,2025-01-02,463,463,partner_hotel
LOY0000040,CUST0001,BKG010847,2025-01-24,1090,0,flight
LOY0000041,CUST0001,BKG011398,2025-01-12,4941,2470,flight
LOY0000042,CUST0002,BKG000027,2024-11-18,410,0,flight
LOY0000043,CUST0002,BKG000179,2024-11-24,747,0,flight
LOY0000044,CUST0002,BKG000545,2024-12-27,1755,0,bonus_campaign
LOY0000045,CUST0002,BKG001121,2024-12-30,845,0,flight
LOY0000046,CUST0002,BKG001299,2024-12-08,849,849,flight
LOY0000047,CUST0002,BKG001413,2024-12-01,2281,0,flight
LOY0000048,CUST0002,BKG001416,2024-12-22,1490,1490,flight
LOY0000049,CUST0002,BKG001590,2024-12-10,391,0,flight
LOY0000050,CUST0002,BKG001636,2024-11-24,775,0,flight
LOY0000051,CUST0002,BKG002186,2024-12-07,7272,7272,flight
LOY0000052,CUST0002,BKG002221,2024-11-08,3541,0,flight
LOY0000053,CUST0002,BKG002343,2024-12-31,226,113,flight
LOY0000054,CUST0002,BKG002667,2025-01-05,2328,0,bonus_campaign
LOY0000055,CUST0002,BKG002694,2024-11-25,237,0,flight
LOY0000056,CUST0002,BKG002977,2024-12-22,1552,776,partner_hotel
LOY0000057,CUST0002,BKG003613,2024-11-23,1437,1437,flight
LOY0000058,CUST0002,BKG003657,2024-11-12,657,0,bonus_campaign
LOY0000059,CUST0002,BKG004176,2025-01-01,996,0,flight
LOY0000060,CUST0002,BKG004229,2024-11-19,1463,1463,flight
LOY0000061,CUST0002,BKG004608,2024-11-27,1159,1159,flight
LOY0000062,CUST0002,BKG005023,2024-12-24,1399,699,flight
LOY0000063,CUST0002,BKG005078,2024-12-26,531,0,flight
LOY0000064,CUST0002,BKG005679,2025-01-05,472,472,flight
LOY0000065,CUST0002,BKG006426,2024-12-24,1101,550,flight
LOY0000066,CUST0002,BKG006735,2025-01-13,855,0,partner_hotel
LOY0000067,CUST0002,BKG007460,2024-11-21,637,0,partner_hotel
LOY0000068,CUST0002,BKG007638,2024-12-25,705,0,flight
LOY0000069,CUST0002,BKG007763,2024-12-24,1318,0,flight
LOY0000070,CUST0002,BKG008229,2025-01-20,1485,0,flight
LOY0000071,CUST0002,BKG008987,2025-01-22,808,0,flight
LOY0000072,CUST0002,BKG009091,2024-12-13,8024,4012,flight
LOY0000073,CUST0002,BKG009288,2024-12-28,791,0,bonus_campaign
LOY0000074,CUST0002,BKG009910,2024-11-30,1425,0,flight
LOY0000075,CUST0002,BKG011392,2025-01-09,13092,13092,flight
LOY0000076,CUST0004,BKG000837,2024-12-03,720,0,flight
LOY0000077,CUST0004,BKG001148,2024-12-18,1610,0,flight
LOY0000078,CUST0004,BKG001336,2024-12-17,1140,1140,flight
LOY0000079,CUST0004,BKG001783,2024-12-11,5788,2894,flight
LOY0000080,CUST0004,BKG001942,2024-11-21,855,0,flight
LOY0000081,CUST0004,BKG002039,2024-12-09,1280,640,flight
LOY0000082,CUST0004,BKG002139,2024-11-19,688,344,partner_hotel
LOY0000083,CUST0004,BKG002384,2025-01-04,1010,0,flight
LOY0000084,CUST0004,BKG003556,2025-01-06,1130,565,partner_hotel
LOY0000085,CUST0004,BKG003674,2024-12-27,1650,0,flight
LOY0000086,CUST0004,BKG003912,2024-12-30,945,472,flight
LOY0000087,CUST0004,BKG003981,2025-01-02,816,0,flight
LOY0000088,CUST0004,BKG004373,2024-12-29,2512,0,flight
LOY0000089,CUST0004,BKG004859,2024-11-25,1176,0,flight
LOY0000090,CUST0004,BKG005281,2024-12-08,666,0,flight
LOY0000091,CUST0004,BKG005527,2025-01-08,624,0,flight
LOY0000092,CUST0004,BKG005909,2024-12-01,1740,870,flight
LOY0000093,CUST0004,BKG006837,2024-12-22,496,0,partner_hotel
LOY0000094,CUST0004,BKG006936,2024-11-24,1032,0,flight
LOY0000095,CUST0004,BKG007241,2025-01-16,410,0,flight
LOY0000096,CUST0004,BKG007414,2024-11-30,1693,0,flight
LOY0000097,CUST0004,BKG007580,2024-12-18,967,0,partner_hotel
LOY0000098,CUST0004,BKG007762,2025-01-05,825,825,flight
LOY0000099,CUST0004,BKG007855,2025-01-09,3209,3209,bonus_campaign
