review_id,booking_id,customer_id,flight_id,review_date,rating,review_text,sentiment_score,sentiment_label,cabin
REV000001,BKG007271,CUST0169,FLT00305,2024-12-11,2,Very disappointed with the service on this strategic route.,-0.975,negative,Business
REV000002,BKG000861,CUST0181,FLT00036,2024-12-22,3,Flight was fine but the wifi was not working.,0.4167,positive,Economy
REV000003,BKG005391,CUST0160,FLT00227,2024-12-12,1,"Last minute cancellation, refund still pending after two weeks.",0.0,neutral,Economy
REV000004,BKG005192,CUST0241,FLT00219,2024-12-29,4,Flight was fine but the wifi was not working.,0.4167,positive,Economy
REV000005,BKG011285,CUST0007,FLT00473,2024-12-07,2,The new A330 fleet is really comfortable for the Paris route.,0.2682,positive,Economy
REV000006,BKG005735,CUST0161,FLT00241,2024-12-15,1,Very disappointed with the service on this strategic route.,-0.975,negative,Economy
REV000007,BKG006266,CUST0018,FLT00264,2024-11-28,1,Staff was rude when I requested an upgrade at the gate.,-0.3,negative,Economy
REV000008,BKG000467,CUST0176,FLT00019,2024-12-03,4,Staff was rude when I requested an upgrade at the gate.,-0.3,negative,Economy
REV000009,BKG004427,CUST0219,FLT00187,2024-11-27,4,"Outstanding service on board, quality meal on the long haul flight.",0.225,positive,Economy
REV000010,BKG005579,CUST0263,FLT00235,2024-12-23,3,Flight was fine but the wifi was not working.,0.4167,positive,Premium Economy
REV000011,BKG011364,CUST0144,FLT00476,2024-12-17,5,"Smooth flight, great legroom, will definitely fly again.",0.6667,positive,Economy
REV000012,BKG011112,CUST0261,FLT00466,2025-01-27,1,Air conditioning was broken for the entire flight. Unacceptable.,-0.2,negative,Economy
REV000013,BKG008323,CUST0122,FLT00348,2024-11-24,3,"Slow check-in process, staff seemed disorganized at the gate.",-0.3,negative,Economy
REV000014,BKG001686,CUST0272,FLT00070,2025-01-03,2,"Last minute cancellation, refund still pending after two weeks.",0.0,neutral,Economy
REV000015,BKG000770,CUST0013,FLT00032,2024-11-05,3,Average food for an international flight. Needs improvement.,-0.075,neutral,Economy
REV000016,BKG010584,CUST0274,FLT00442,2024-12-13,4,The new A330 fleet is really comfortable for the Paris route.,0.2682,positive,Economy
REV000017,BKG006950,CUST0282,FLT00291,2024-11-23,2,45 minute delay at departure but courteous staff.,0.6,positive,Economy
REV000018,BKG002434,CUST0150,FLT00102,2024-12-18,3,"On time, comfortable seats, I highly recommend Air Cote d'Ivoire.",0.28,positive,Economy
REV000019,BKG005312,CUST0140,FLT00224,2024-12-29,3,Staff was rude when I requested an upgrade at the gate.,-0.3,negative,Economy
REV000020,BKG005052,CUST0172,FLT00214,2024-12-22,3,"Acceptable experience, nothing stood out positively or negatively.",-0.3,negative,Economy
REV000021,BKG006421,CUST0150,FLT00270,2024-12-24,1,"Broken seat, faulty tray table, indifferent cabin crew.",-0.4,negative,Economy
REV000022,BKG001185,CUST0153,FLT00050,2024-11-21,3,"Impeccable service, very comfortable business class seat.",0.635,positive,Economy
REV000023,BKG004556,CUST0278,FLT00194,2024-12-06,5,"Broken seat, faulty tray table, indifferent cabin crew.",-0.4,negative,Premium Economy
REV000024,BKG003386,CUST0199,FLT00142,2024-11-29,3,"Lost luggage, no response from customer service after 5 days.",0.0,neutral,Economy
REV000025,BKG006397,CUST0142,FLT00269,2024-11-25,1,Air conditioning was broken for the entire flight. Unacceptable.,-0.2,negative,Economy
REV000026,BKG011097,CUST0060,FLT00465,2024-12-29,2,"Friendly staff, fast boarding, smooth experience overall.",0.2437,positive,Economy
REV000027,BKG008667,CUST0103,FLT00362,2024-12-31,3,"Slow check-in process, staff seemed disorganized at the gate.",-0.3,negative,Business
REV000028,BKG009275,CUST0221,FLT00388,2024-12-23,5,The new A330 fleet is really comfortable for the Paris route.,0.2682,positive,Premium Economy
REV000029,BKG002559,CUST0264,FLT00108,2024-11-19,4,The new A330 fleet is really comfortable for the Paris route.,0.2682,positive,Economy
REV000030,BKG007850,CUST0207,FLT00329,2024-12-05,4,Flight was fine but the wifi was not working.,0.4167,positive,Economy
REV000031,BKG002048,CUST0094,FLT00086,2024-11-21,2,"Lost luggage, no response from customer service after 5 days.",0.0,neutral,Economy
REV000032,BKG002748,CUST0045,FLT00116,2024-11-12,3,Flight was overbooked and handling was chaotic and unprofessional.,0.0,neutral,Premium Economy
REV000033,BKG009168,CUST0084,FLT00384,2025-01-20,3,The new A330 fleet is really comfortable for the Paris route.,0.2682,positive,Economy
REV000034,BKG009999,CUST0256,FLT00417,2025-01-01,5,"Smooth flight, great legroom, will definitely fly again.",0.6667,positive,Business
REV000035,BKG000190,CUST0241,FLT00008,2024-11-07,3,Narrow seat in economy on the long haul flight.,-0.125,neutral,Economy
REV000036,BKG002735,CUST0207,FLT00116,2024-12-18,5,"Excellent flight, very professional and attentive crew.",0.51,positive,Economy
REV000037,BKG003006,CUST0214,FLT00127,2024-11-13,4,"Friendly staff, fast boarding, smooth experience overall.",0.2437,positive,Economy
REV000038,BKG004659,CUST0246,FLT00198,2024-12-28,3,"Slow check-in process, staff seemed disorganized at the gate.",-0.3,negative,Economy
REV000039,BKG001900,CUST0106,FLT00079,2024-12-07,3,Great value for money on this West African route.,0.4,positive,Economy
REV000040,BKG007735,CUST0243,FLT00325,2025-01-20,3,45 minute delay at departure but courteous staff.,0.6,positive,Economy
REV000041,BKG001268,CUST0217,FLT00053,2024-12-18,3,45 minute delay at departure but courteous staff.,0.6,positive,Premium Economy
REV000042,BKG001529,CUST0186,FLT00064,2024-12-10,1,Very disappointed with the service on this strategic route.,-0.975,negative,Premium Economy
REV000043,BKG011395,CUST0069,FLT00477,2024-12-10,2,"Lost luggage, no response from customer service after 5 days.",0.0,neutral,Economy
REV000044,BKG003557,CUST0021,FLT00150,2024-11-28,4,"Smooth flight, great legroom, will definitely fly again.",0.6667,positive,Economy
REV000045,BKG003891,CUST0083,FLT00164,2024-12-15,1,Flight was overbooked and handling was chaotic and unprofessional.,0.0,neutral,Economy
REV000046,BKG008839,CUST0280,FLT00369,2025-01-17,3,"Broken seat, faulty tray table, indifferent cabin crew.",-0.4,negative,Economy
REV000047,BKG011081,CUST0025,FLT00465,2025-01-22,1,"Excellent flight, very professional and attentive crew.",0.51,positive,Economy
REV000048,BKG005394,CUST0136,FLT00227,2024-11-24,5,"Outstanding service on board, quality meal on the long haul flight.",0.225,positive,Premium Economy
REV000049,BKG010628,CUST0183,FLT00444,2024-12-31,4,Decent flight but nothing exceptional. Service could be improved.,0.4167,positive,Premium Economy
REV000050,BKG008793,CUST0015,FLT00367,2024-12-26,5,"Impeccable service, very comfortable business class seat.",0.635,positive,Business
REV000051,BKG010556,CUST0145,FLT00441,2024-12-10,3,"Excellent flight, very professional and attentive crew.",0.51,positive,Economy
REV000052,BKG010254,CUST0113,FLT00428,2024-12-02,4,"Smooth flight, great legroom, will definitely fly again.",0.6667,positive,Economy
REV000053,BKG008434,CUST0273,FLT00353,2024-12-28,1,Three hour delay with no explanation. Customer service was nonexistent.,0.0,neutral,Economy
REV000054,BKG010234,CUST0146,FLT00427,2025-01-03,3,"Slow check-in process, staff seemed disorganized at the gate.",-0.3,negative,Economy
REV000055,BKG011017,CUST0212,FLT00462,2024-12-01,3,"Lost luggage, no response from customer service after 5 days.",0.0,neutral,Economy
REV000056,BKG007514,CUST0001,FLT00316,2024-12-01,3,Three hour delay with no explanation. Customer service was nonexistent.,0.0,neutral,Premium Economy
REV000057,BKG002613,CUST0246,FLT00110,2025-01-01,3,Flight was fine but the wifi was not working.,0.4167,positive,Economy
REV000058,BKG007042,CUST0135,FLT00295,2024-11-20,3,Flight was fine but the wifi was not working.,0.4167,positive,Business
REV000059,BKG009556,CUST0038,FLT00400,2025-01-18,4,"Outstanding service on board, quality meal on the long haul flight.",0.225,positive,Economy
REV000060,BKG006236,CUST0039,FLT00263,2024-11-22,5,"Outstanding service on board, quality meal on the long haul flight.",0.225,positive,Economy
REV000061,BKG005487,CUST0279,FLT00231,2024-11-29,5,Average food for an international flight. Needs improvement.,-0.075,neutral,Economy
REV000062,BKG007100,CUST0119,FLT00297,2025-01-09,4,"Acceptable experience, nothing stood out positively or negatively.",-0.3,negative,Economy
REV000063,BKG009671,CUST0156,FLT00404,2025-01-22,3,Average food for an international flight. Needs improvement.,-0.075,neutral,Economy
REV000064,BKG010749,CUST0149,FLT00448,2024-12-05,1,Flight was overbooked and handling was chaotic and unprofessional.,0.0,neutral,Economy
REV000065,BKG000776,CUST0034,FLT00033,2024-11-18,3,45 minute delay at departure but courteous staff.,0.6,positive,Premium Economy
REV000066,BKG008227,CUST0189,FLT00345,2024-12-09,3,Decent flight but nothing exceptional. Service could be improved.,0.4167,positive,Business
REV000067,BKG003153,CUST0090,FLT00133,2024-11-18,5,45 minute delay at departure but courteous staff.,0.6,positive,Premium Economy
REV000068,BKG010148,CUST0119,FLT00423,2024-12-28,2,Great value for money on this West African route.,0.4,positive,Economy
REV000069,BKG001586,CUST0154,FLT00066,2024-12-29,5,"Excellent flight, very professional and attentive crew.",0.51,positive,Economy
